business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
39667,Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,37.789437,-122.401111,"(37.789437, -122.401111)",,39667_20160906,09-06-16 0:00,96,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
67176,The Melt,1 Embarcadero Center,San Francisco,CA,94111,37.794588,-122.399642,"(37.794588, -122.399642)",,67176_20160414,04/14/2016 12:00:00 AM,100,Routine - Unscheduled,,,
88090,Hwaro,4516 Mission St,San Francisco,CA,94112,,,,14155207904,88090_20160728,07/28/2016 12:00:00 AM,62,New Construction,,,
33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20141117,11/17/2014 12:00:00 AM,90,Routine - Unscheduled,33700_20141117_103120,Moderate risk food holding temperature,Moderate Risk
59838,OTD,2232 Bush St,San Francisco,CA,94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,59838_20160531,05/31/2016 12:00:00 AM,92,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,Moderate Risk
81134,Carmelina's Taqueria,500 Parnassus Ave,San Francisco,CA,94143,,,,14155501121,81134_20160127,01/27/2016 12:00:00 AM,41,Reinspection/Followup,81134_20160127_103131,Moderate risk vermin infestation,Moderate Risk
68963,West of Pecos,550 Valencia St,San Francisco,CA,94110,37.764087,-122.421881,"(37.764087, -122.421881)",14155257000,68963_20160412,04-12-16 0:00,12,Reinspection/Followup,,,
58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,37.796973,-122.408504,"(37.796973, -122.408504)",,58673_20160412,04-12-16 0:00,71,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
66534,Midway Grill (Snack Shop),99 Harding Park Road,San Francisco,CA,94103,37.723698,-122.495289,"(37.723698, -122.495289)",,66534_20160413,04/13/2016 12:00:00 AM,87,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,Moderate Risk
76,OMNI S.F. Hotel - 3rd Floor Pantry,"500 California St, 3rd Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,76_20140612,06-12-14 0:00,96,Routine - Unscheduled,76_20140612_103145,Improper storage of equipment utensils or linens,Low Risk
76,OMNI S.F. Hotel - 3rd Floor Pantry,"500 California St, 3rd Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,76_20140612,06-12-14 0:00,96,Routine - Unscheduled,76_20140612_103156,Permit license or inspection report not posted,Low Risk
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20140612,06-12-14 0:00,94,Routine - Unscheduled,77_20140612_103156,Permit license or inspection report not posted,Low Risk
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20141124,11/24/2014 12:00:00 AM,96,Routine - Unscheduled,77_20141124_103144,Unapproved or unmaintained equipment or utensils,Low Risk
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20141124,11/24/2014 12:00:00 AM,96,Routine - Unscheduled,77_20141124_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
74760,Ghirardelli Chocolate,24 Wiilie Mays Pl #120,San Francisco,CA,94107,,,,,74760_20160814,08/14/2016 12:00:00 AM,100,Routine - Unscheduled,,,
3267,The Olive Garden Italian,3251 20th Ave,San Francisco,CA,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,3267_20161206,12-06-16 0:00,36,Complaint,3267_20161206_103138,Improper storage use or identification of toxic substances,Low Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,06/27/2016 12:00:00 AM,83,Routine - Unscheduled,81987_20160627_103156,Permit license or inspection report not posted,Low Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,06/27/2016 12:00:00 AM,83,Routine - Unscheduled,81987_20160627_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85407,Fritas Taco Truck,501 Buckingham Way,San Francisco,CA,94132,,,,,85407_20160601,06-01-16 0:00,85,Routine - Unscheduled,85407_20160601_103154,Unclean or degraded floors walls or ceilings,Low Risk
3241,SHENG KEE BAKERY,1941 IRVING St,San Francisco,CA,94122,37.76344,-122.478648,"(37.76344, -122.478648)",,3241_20160906,09-06-16 0:00,86,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk
59025,Sushi Umi,132 Bush St,San Francisco,CA,94104,37.791308,-122.400134,"(37.791308, -122.400134)",,59025_20160608,06-08-16 0:00,58,Reinspection/Followup,,,
5268,SAN FRANCISCO MUSEUM OF MODERN ART,151 03rd St,San Francisco,CA,94103,37.785643,-122.401192,"(37.785643, -122.401192)",,5268_20160815,08/15/2016 12:00:00 AM,87,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
79252,E & J Fine Meats,1706 Church St,San Francisco,CA,94122,,,,14155820515,79252_20160812,08-12-16 0:00,98,Non-inspection site visit,,,
70713,Uni's Deli,1200 VERMONT St,San Francisco,CA,94110,37.754258,-122.403535,"(37.754258, -122.403535)",,70713_20160503,05-03-16 0:00,90,Routine - Unscheduled,70713_20160503_103154,Unclean or degraded floors walls or ceilings,Low Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,05-02-16 0:00,72,Routine - Unscheduled,59577_20160502_103156,Permit license or inspection report not posted,Low Risk
5960,ST. ANNE,1320 14th Ave,San Francisco,CA,94122,37.763403,-122.471582,"(37.763403, -122.471582)",,5960_20160506,05-06-16 0:00,92,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,Moderate Risk
87551,NoodleMe,333 Market St,San Francisco,CA,94105,,,,,87551_20160713,07/13/2016 12:00:00 AM,88,New Construction,,,
77840,Subway #61240,425 Battery St,San Francisco,CA,94111,,,,,77840_20160429,04/29/2016 12:00:00 AM,100,Routine - Unscheduled,,,
87821,Shin Dig,403 Irving St,San Francisco,CA,94122,,,,14155967495,87821_20160525,05/25/2016 12:00:00 AM,75,New Construction,,,
74593,La Placita Mexicatessen,2531 San Bruno Ave,San Francisco,CA,94134,,,,,74593_20161110,11-10-16 0:00,84,Routine - Unscheduled,74593_20161110_103147,Inadequate ventilation or lighting,Low Risk
76826,Wing Lee Bakery,503 Clement St,San Francisco,CA,94118,,,,,76826_20160518,05/18/2016 12:00:00 AM,79,Routine - Unscheduled,76826_20160518_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
65649,Krua Thai Kitchen,3214 16th St,San Francisco,CA,94103,37.764788,-122.424462,"(37.764788, -122.424462)",,65649_20161206,12-06-16 0:00,90,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,Moderate Risk
2766,TAQUERIA GUADALAJARA,4798 MISSION,San Francisco,CA,94112,37.721191,-122.43755,"(37.721191, -122.43755)",14155552785,2766_20161021,10/21/2016 12:00:00 AM,95,Reinspection/Followup,,,
5457,AT&T - (CART 39) DOGGIE DINER v [145126],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500,5457_20160814,08/14/2016 12:00:00 AM,96,Routine - Unscheduled,5457_20160814_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
63943,OMI Senior Center,65 Beverly St,San Francisco,CA,94132,37.717298,-122.471709,"(37.717298, -122.471709)",,63943_20160509,05-09-16 0:00,100,Routine - Unscheduled,,,
76230,AT&T PARK - Coffee Bar & Ice Cream,24 Willie Mays Plaza,San Francisco,CA,94107,,,,,76230_20160814,08/14/2016 12:00:00 AM,100,Routine - Unscheduled,,,
87099,Corridor,100 Van Ness Ave #A,San Francisco,CA,94102,,,,,87099_20161110,11-10-16 0:00,94,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk
69353,Aria,932 Larkin St,San Francisco,CA,94109,37.786565,-122.418116,"(37.786565, -122.418116)",,69353_20160907,09-07-16 0:00,86,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
58850,Woerner's Liquor,901 Geary St,San Francisco,CA,94109,37.786053,-122.418327,"(37.786053, -122.418327)",,58850_20160906,09-06-16 0:00,79,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,Low Risk
32586,Terroir,81 Langton St,San Francisco,CA,94103,37.776494,-122.408562,"(37.776494, -122.408562)",14155718949,32586_20160906,09-06-16 0:00,96,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk
5523,AT&T Park - Coffee and Ice Cream (5A+5B),24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,,5523_20160814,08/14/2016 12:00:00 AM,95,Non-inspection site visit,,,
80598,Jade Chocolates,4207 Geary Blvd,San Francisco,CA,94118,,,,14155938719,80598_20141202,12-02-14 0:00,41,New Construction,,,
4999,HARVEST MARKET,2285 MARKET St,San Francisco,CA,94114,37.764607,-122.432452,"(37.764607, -122.432452)",14155620805,4999_20161003,10-03-16 0:00,77,Routine - Unscheduled,4999_20161003_103103,High risk food holding temperature,High Risk
40217,Pizzetta 211,211 23rd Ave,San Francisco,CA,94121,37.783758,-122.482885,"(37.783758, -122.482885)",,40217_20160502,05-02-16 0:00,88,Routine - Unscheduled,40217_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
1632,SWEET CHINITO,3100 MISSION St,San Francisco,CA,94110,37.748164,-122.418241,"(37.748164, -122.418241)",,1632_20160810,08-10-16 0:00,92,Routine - Unscheduled,1632_20160810_103120,Moderate risk food holding temperature,Moderate Risk
62277,tacos san buena,16th and shotwell St,San Francisco,CA,94102,37.779847,-122.418985,"(37.779847, -122.418985)",14155556127,62277_20160429,04/29/2016 12:00:00 AM,90,Routine - Unscheduled,62277_20160429_103148,No thermometers or uncalibrated thermometers,Low Risk
1833,Rogue Ales Public House,673 Union St,San Francisco,CA,94133,37.800254,-122.410447,"(37.800254, -122.410447)",,1833_20160413,04/13/2016 12:00:00 AM,78,Routine - Unscheduled,1833_20160413_103133,Foods not protected from contamination,Moderate Risk
13313,MV Solano,Pier 41,San Francisco,CA,94133,37.808494,-122.412,"(37.808494, -122.412)",,13313_20160518,05/18/2016 12:00:00 AM,100,Routine - Unscheduled,,,
69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,San Francisco,CA,94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,69282_20160413,04/13/2016 12:00:00 AM,76,Routine - Unscheduled,69282_20160413_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
18805,Terzo,3011 Steiner St,San Francisco,CA,94123,37.797144,-122.437224,"(37.797144, -122.437224)",,18805_20160607,06-07-16 0:00,94,Routine - Unscheduled,18805_20160607_103154,Unclean or degraded floors walls or ceilings,Low Risk
37882,First Cake,5901 GEARY Blvd,San Francisco,CA,94121,37.780087,-122.482596,"(37.780087, -122.482596)",,37882_20160413,04/13/2016 12:00:00 AM,26,Reinspection/Followup,,,
77778,Thai Thai Noodle 2,1400 California St,San Francisco,CA,94109,,,,,77778_20160502,05-02-16 0:00,81,Routine - Unscheduled,77778_20160502_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
75259,The Battery - Prep Kitchen,717 Battery St Basement,San Francisco,CA,94111,,,,,75259_20160325,03/25/2016 12:00:00 AM,91,Routine - Unscheduled,75259_20160325_103105,Improper cooling methods,High Risk
79412,Mr. Holmes Bakehouse,1042 Larkin St,San Francisco,CA,94109,,,,,79412_20140828,08/28/2014 12:00:00 AM,25,New Construction,,,
5948,BRANDEIS-HILLEL DAY SCHOOL,655 BROTHERHOOD Way,San Francisco,CA,94132,37.713935,-122.475282,"(37.713935, -122.475282)",14155401035,5948_20160413,04/13/2016 12:00:00 AM,91,Routine - Unscheduled,5948_20160413_103157,Food safety certificate or food handler card not available,Low Risk
180,NENAS RESTAURANT,3459 MISSION St,San Francisco,CA,94110,37.74146,-122.422484,"(37.74146, -122.422484)",14155288985,180_20141104,11-04-14 0:00,91,Routine - Unscheduled,180_20141104_103114,High risk vermin infestation,High Risk
3211,PHO HUYNH HIEP II,1833 IRVING St,San Francisco,CA,94122,37.763503,-122.477748,"(37.763503, -122.477748)",,3211_20160815,08/15/2016 12:00:00 AM,83,Routine - Unscheduled,3211_20160815_103133,Foods not protected from contamination,Moderate Risk
81509,The Flying Falafel,1051 Market St,San Francisco,CA,,,,,14158500984,81509_20161205,12-05-16 0:00,85,Routine - Unscheduled,81509_20161205_103157,Food safety certificate or food handler card not available,Low Risk
38798,K's Kitchen,757 Monterey Blvd,San Francisco,CA,94127,37.731503,-122.45237,"(37.731503, -122.45237)",,38798_20160518,05/18/2016 12:00:00 AM,90,Routine - Unscheduled,38798_20160518_103145,Improper storage of equipment utensils or linens,Low Risk
